"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc"
120,18,1250,20,0,0,0,0.454733370467642,NA,0.168131478112987,NA
121,18,1250,21,0,0,0,0.46031744773266,NA,0.195475720829596,NA
122,18,1250,22,0,0,0,0.456569189915972,NA,0.166460293769274,NA
123,18,1250,23,0,0,0,0.452939341553326,NA,0.162176629914686,NA
124,18,1250,24,0,0,0,0.468371203406872,NA,0.1722531653818,NA
125,18,1250,25,0,0,0,0.453327366748513,NA,0.167502248164526,NA
126,18,1250,26,0,0,0,0.456922092349633,NA,0.185286240319485,NA
127,18,1250,27,0,0,0,0.457774449353692,NA,0.172205529644676,NA
128,18,1250,28,0,0,0,0.456338420627702,NA,0.169128894307186,NA
129,18,1250,29,0,0,0,0.457046809483663,NA,0.166660200731446,NA
130,18,1250,30,0,0,0,0.453900665649208,NA,0.170472933664941,NA
131,18,1250,31,0,0,0,0.455655738385968,NA,0.161074002529868,NA
132,18,1250,32,0,0,0,0.4536864740382,NA,0.170332248179664,NA
133,18,1250,33,0,0,0,0.473288278077869,NA,0.193032241610697,NA
134,18,1250,34,0,0,0,0.454550003903403,NA,0.185082754191998,NA
135,18,1250,35,0,0,0,0.457077039643159,NA,0.188068073927505,NA
136,18,1250,36,0,0,0,0.460828254146207,NA,0.197678885538355,NA
137,18,1250,37,0,0,0,0.471637585980004,NA,0.211152389941369,NA
138,18,1250,38,0,0,0,0.455104057329842,NA,0.168230321176245,NA
139,18,1250,39,0,0,0,0.457577942251326,NA,0.158754940872551,NA
140,18,1250,40,0,0,0,0.462877123011854,NA,0.175413784901747,NA
141,18,1250,41,0,0,0,0.455025641920788,NA,0.167772639316059,NA
142,18,1250,42,0,0,0,0.46317848299415,NA,0.182625634432379,NA
143,18,1250,43,0,0,0,0.451971769303583,NA,0.160835593440627,NA
144,18,1250,44,0,0,0,0.465055065769182,NA,0.185877192801077,NA
145,18,1250,45,0,0,0,0.462233483979274,NA,0.193488078212261,NA
146,18,1250,46,0,0,0,0.452880165993416,NA,0.150027489490719,NA
147,18,1250,47,0,0,0,0.459055838166123,NA,0.176597864325279,NA
148,18,1250,48,0,0,0,0.458224235715862,NA,0.188742819875662,NA
149,18,1250,49,0,0,0,0.452729928201978,NA,0.178544575673903,NA
150,18,1250,50,0,0,0,0.450959816173224,NA,0.198569397258308,NA
151,18,1250,51,0,0,0,0.454450715410035,NA,0.176276822064958,NA
152,18,1250,52,0,0,0,0.460340469197088,NA,0.18498065531683,NA
153,18,1250,53,0,0,0,0.449632392079151,NA,0.143245934005807,NA
154,18,1250,54,0,0,0,0.453516157156508,NA,0.186881558579348,NA
155,18,1250,55,0,0,0,0.452815331681139,NA,0.16518399559187,NA
156,18,1250,56,0,0,0,0.453585695381543,NA,0.160608269156379,NA
157,18,1250,57,0,0,0,0.453837491796876,NA,0.165580481581326,NA
158,18,1250,58,0,0,0,0.461225202100699,NA,0.177958270340003,NA
159,18,1250,59,0,0,0,0.452810211439343,NA,0.161898425246439,NA
160,18,1250,60,0,0,0,0.455715033838802,NA,0.158740136448013,NA
161,18,1250,61,0,0,0,0.461291065391909,NA,0.171089606164958,NA
162,18,1250,62,0,0,0,0.453152897889508,NA,0.172268544702672,NA
163,18,1250,63,0,0,0,0.458138022037228,NA,0.171110582811014,NA
164,18,1250,64,0,0,0,0.455556404172328,NA,0.166494508919021,NA
165,18,1250,65,0,0,0,0.457813202161821,NA,0.180584108043467,NA
166,18,1250,66,0,0,0,0.468257661455695,NA,0.188166703136425,NA
167,18,1250,67,0,0,0,0.457802093522481,NA,0.173357940693827,NA
168,18,1250,68,0,0,0,0.464242259136461,NA,0.19715328882196,NA
169,18,1250,69,0,0,0,0.457843578435579,NA,0.172052478354904,NA
170,18,1250,70,0,0,0,0.452035108837379,NA,0.152576514999726,NA
171,18,1250,71,0,0,0,0.463331966328125,NA,0.20415420498569,NA
172,18,1250,72,0,0,0,0.452705045677197,NA,0.160209492718777,NA
173,18,1250,73,0,0,0,0.453928371411663,NA,0.160149283532199,NA
174,18,1250,74,0,0,0,0.455311330579045,NA,0.153265726352454,NA
175,18,1250,75,0,0,0,0.460542442967158,NA,0.209769088798271,NA
176,18,1250,76,0,0,0,0.453178833682854,NA,0.155311578623288,NA
177,18,1250,77,0,0,0,0.45623555684201,NA,0.16542218626102,NA
178,18,1250,78,0,0,0,0.450149167574639,NA,0.167062177669082,NA
179,18,1250,79,0,0,0,0.457628134392977,NA,0.16470214470685,NA
180,18,1250,80,0,0,0,0.448779995891839,NA,0.149921106872543,NA
181,18,1250,81,0,0,0,0.460540194333048,NA,0.186925019572625,NA
182,18,1250,82,0,0,0,0.456919033737669,NA,0.170890294564633,NA
183,18,1250,83,0,0,0,0.460424102063085,NA,0.192584960399649,NA
184,18,1250,84,0,0,0,0.456670752888975,NA,0.165560828291118,NA
185,18,1250,85,0,0,0,0.45192310104091,NA,0.154590781711531,NA
186,18,1250,86,0,0,0,0.46048173357081,NA,0.172242108414504,NA
187,18,1250,87,0,0,0,0.472055401049771,NA,0.196512451049002,NA
188,18,1250,88,0,0,0,0.465102796521529,NA,0.192583298639174,NA
189,18,1250,89,0,0,0,0.458908704668852,NA,0.172897361872798,NA
190,18,1250,90,0,0,0,0.456815053174391,NA,0.172448217104946,NA
191,18,1250,91,0,0,0,0.461709079700426,NA,0.188597607512923,NA
192,18,1250,92,0,0,0,0.464167656099325,NA,0.161973876413821,NA
193,18,1250,93,0,0,0,0.4659041383594,NA,0.191038848789262,NA
194,18,1250,94,0,0,0,0.451274754844474,NA,0.15411680627725,NA
195,18,1250,95,0,0,0,0.446657114383824,NA,0.158741102017465,NA
196,18,1250,96,0,0,0,0.461196071658674,NA,0.181590212200424,NA
197,18,1250,97,0,0,0,0.465317280882987,NA,0.184617403520082,NA
198,18,1250,98,0,0,0,0.453773251400035,NA,0.205410004732437,NA
199,18,1250,99,0,0,0,0.453006839842137,NA,0.156651215925711,NA
200,18,1250,100,0,0,0,0.456269997443587,NA,0.154485705837948,NA
201,18,1500,1,0,0,0,0.456158894633477,NA,0.171481135190352,NA
202,18,1500,2,0,0,0,0.458327113779771,NA,0.171849728308005,NA
203,18,1500,3,0,0,0,0.448846357340799,NA,0.133860104692899,NA
204,18,1500,4,0,0,0,0.446828282023773,NA,0.151209208054777,NA
205,18,1500,5,0,0,0,0.450805249594802,NA,0.138930584457205,NA
206,18,1500,6,0,0,0,0.45775579776249,NA,0.166480726230769,NA
207,18,1500,7,0,0,0,0.450241387261548,NA,0.15273291653721,NA
208,18,1500,8,0,0,0,0.448101546916642,NA,0.137270869138906,NA
209,18,1500,9,0,0,0,0.453126858926895,NA,0.15608448459805,NA
210,18,1500,10,0,0,0,0.443484435773185,NA,0.137917669644827,NA
211,18,1500,11,0,0,0,0.449935505708004,NA,0.17733019945021,NA
212,18,1500,12,0,0,0,0.4520012333497,NA,0.154865745529115,NA
213,18,1500,13,0,0,0,0.454497802037278,NA,0.157559560724714,NA
214,18,1500,14,0,0,0,0.450365079266104,NA,0.141104030856503,NA
215,18,1500,15,0,0,0,0.452780015111543,NA,0.16880860307648,NA
216,18,1500,16,0,0,0,0.44862798499785,NA,0.153240135839923,NA
217,18,1500,17,0,0,0,0.454887679663881,NA,0.169178370943019,NA
218,18,1500,18,0,0,0,0.451137731430288,NA,0.140613289499676,NA
219,18,1500,19,0,0,0,0.456279094239927,NA,0.204389481585733,NA
220,18,1500,20,0,0,0,0.45671949421214,NA,0.164142397120482,NA
221,18,1500,21,0,0,0,0.451142941716214,NA,0.161848325981386,NA
222,18,1500,22,0,0,0,0.460051625862113,NA,0.174365810875197,NA
223,18,1500,23,0,0,0,0.461173810506814,NA,0.162012353760244,NA
224,18,1500,24,0,0,0,0.450562950598131,NA,0.138245651695553,NA
225,18,1500,25,0,0,0,0.448543842078375,NA,0.137853260463558,NA
226,18,1500,26,0,0,0,0.452925099636242,NA,0.178321033671559,NA
227,18,1500,27,0,0,0,0.448141105728887,NA,0.135295968196196,NA
228,18,1500,28,0,0,0,0.461664693069109,NA,0.174597562442378,NA
229,18,1500,29,0,0,0,0.450069057456213,NA,0.148538942792147,NA
230,18,1500,30,0,0,0,0.456227548042563,NA,0.167724903840156,NA
231,18,1500,31,0,0,0,0.447825945286746,NA,0.165753208526241,NA
232,18,1500,32,0,0,0,0.461490715470301,NA,0.182820372325198,NA
233,18,1500,33,0,0,0,0.453863396259085,NA,0.155966445476005,NA
234,18,1500,34,0,0,0,0.448043560933275,NA,0.154451369432781,NA
235,18,1500,35,0,0,0,0.459630935684574,NA,0.176471554692703,NA
236,18,1500,36,0,0,0,0.451872422318067,NA,0.140844471964444,NA
237,18,1500,37,0,0,0,0.46033457660728,NA,0.159005461516304,NA
238,18,1500,38,0,0,0,0.465125798143439,NA,0.192323704074345,NA
239,18,1500,39,0,0,0,0.455456229361114,NA,0.15394827616452,NA
240,18,1500,40,0,0,0,0.453661308406477,NA,0.151096030106657,NA
241,18,1500,41,0,0,0,0.450523176291461,NA,0.147561933751595,NA
242,18,1500,42,0,0,0,0.456505455721621,NA,0.163736677962849,NA
243,18,1500,43,0,0,0,0.454565561732383,NA,0.169972663089924,NA
244,18,1500,44,0,0,0,0.454643803677477,NA,0.153505365702756,NA
245,18,1500,45,0,0,0,0.444046109169929,NA,0.140345441263003,NA
246,18,1500,46,0,0,0,0.454595699481757,NA,0.157465459184435,NA
247,18,1500,47,0,0,0,0.462216930888019,NA,0.183020799930396,NA
248,18,1500,48,0,0,0,0.450946084997391,NA,0.158157193684716,NA
249,18,1500,49,0,0,0,0.455795157863555,NA,0.174284256883069,NA
250,18,1500,50,0,0,0,0.452771444094395,NA,0.146907259589542,NA
251,18,1500,51,0,0,0,0.452272168743297,NA,0.161653212557269,NA
252,18,1500,52,0,0,0,0.451574231110031,NA,0.162455250854965,NA
253,18,1500,53,0,0,0,0.454900337720639,NA,0.159349443975475,NA
254,18,1500,54,0,0,0,0.449852516245366,NA,0.145909539777553,NA
255,18,1500,55,0,0,0,0.448564407786688,NA,0.145518664549732,NA
256,18,1500,56,0,0,0,0.446046495591103,NA,0.144620057179036,NA
257,18,1500,57,0,0,0,0.453776509365719,NA,0.150061513173956,NA
258,18,1500,58,0,0,0,0.454543294960832,NA,0.179665873733765,NA
259,18,1500,59,0,0,0,0.453198089656337,NA,0.148513965891201,NA
260,18,1500,60,0,0,0,0.458399173486181,NA,0.162445296554068,NA
261,18,1500,61,0,0,0,0.458904369295677,NA,0.182942934571191,NA
262,18,1500,62,0,0,0,0.44885392488627,NA,0.140825520531948,NA
263,18,1500,63,0,0,0,0.448605838509699,NA,0.150587594194436,NA
264,18,1500,64,0,0,0,0.451259697804469,NA,0.148391594840425,NA
265,18,1500,65,0,0,0,0.453404305015928,NA,0.177462271761011,NA
266,18,1500,66,0,0,0,0.448244081857501,NA,0.14535377147889,NA
267,18,1500,67,0,0,0,0.446104783226826,NA,0.133238965355205,NA
268,18,1500,68,0,0,0,0.451726439966173,NA,0.164510732449081,NA
269,18,1500,69,0,0,0,0.45004249923711,NA,0.149624778882884,NA
270,18,1500,70,0,0,0,0.447292955552486,NA,0.137639974864708,NA
271,18,1500,71,0,0,0,0.449092173221456,NA,0.152999613418021,NA
272,18,1500,72,0,0,0,0.456172560751605,NA,0.160528655037579,NA
273,18,1500,73,0,0,0,0.455830952228654,NA,0.158437804703118,NA
274,18,1500,74,0,0,0,0.452805061787911,NA,0.146239329929635,NA
275,18,1500,75,0,0,0,0.452225057489534,NA,0.166135461364361,NA
276,18,1500,76,0,0,0,0.446219227031268,NA,0.138679505935594,NA
277,18,1500,77,0,0,0,0.450075857721205,NA,0.148591875068195,NA
278,18,1500,78,0,0,0,0.451449154527404,NA,0.13098055886886,NA
279,18,1500,79,0,0,0,0.447934776950927,NA,0.146561976084633,NA
